                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     78,               0.015444,               0.011767,               0.002477,             0.00041217,                 0.9097,                0.90465,                0.95313,                 0.6666,                0.91475,                  0.907,                0.95704,                 0.6517,               0.014689,               0.012135,              0.0043108,             0.00069154,               0.002377,               0.002377,               0.002377
                     79,               0.015329,               0.011782,              0.0024942,             0.00042306,                0.89703,                0.91418,                0.95448,                0.66852,                0.88867,                0.91409,                0.94917,                0.65358,               0.014754,               0.012193,              0.0042882,              0.0006465,               0.002278,               0.002278,               0.002278
                     80,               0.015223,               0.011829,              0.0024625,             0.00049378,                0.89733,                0.90559,                0.95228,                0.67618,                0.90292,                0.90785,                0.95316,                 0.6547,                 0.0145,                0.01216,              0.0042327,             0.00084029,               0.002179,               0.002179,               0.002179
                     81,               0.015094,               0.011855,              0.0024856,             0.00039023,                0.89328,                0.91571,                0.95502,                0.67638,                0.89748,                0.92014,                 0.9555,                0.65393,               0.014445,               0.012199,              0.0042644,              0.0009101,                0.00208,                0.00208,                0.00208
                     82,               0.015188,               0.011672,              0.0024686,             0.00034893,                0.89284,                0.91685,                0.94984,                0.67381,                0.89811,                0.92244,                 0.9544,                0.64991,               0.014471,               0.012274,              0.0042963,             0.00072986,               0.001981,               0.001981,               0.001981
                     83,               0.014583,               0.011516,              0.0024023,             0.00035837,                0.88905,                0.91821,                0.95376,                0.67441,                 0.8929,                0.92142,                0.95605,                0.65251,               0.014504,               0.012257,              0.0043115,             0.00076691,               0.001882,               0.001882,               0.001882
                     84,               0.014698,               0.011539,               0.002432,             0.00037488,                0.88452,                0.91367,                0.95274,                0.66813,                0.88924,                0.92063,                0.95684,                0.65069,               0.014514,               0.012249,              0.0042967,             0.00070686,               0.001783,               0.001783,               0.001783
                     85,                 0.0145,               0.011582,              0.0023986,              0.0004222,                0.88145,                0.91336,                0.95582,                 0.6703,                0.90535,                0.90805,                0.95838,                0.65494,               0.014622,               0.012238,              0.0042685,             0.00067028,               0.001684,               0.001684,               0.001684
                     86,               0.014642,               0.011531,              0.0023717,             0.00030389,                0.88819,                0.92238,                0.95594,                0.67542,                0.88709,                0.92192,                0.95387,                 0.6529,               0.014516,               0.012151,              0.0042888,             0.00074305,               0.001585,               0.001585,               0.001585
                     87,               0.014435,                0.01146,              0.0023487,             0.00032158,                0.90013,                0.90877,                0.95439,                0.67816,                 0.8976,                0.91052,                0.95503,                0.64972,               0.014598,               0.012202,              0.0043103,             0.00050284,               0.001486,               0.001486,               0.001486
                     88,                0.01449,               0.011389,              0.0023661,             0.00032269,                0.90174,                0.91001,                0.95318,                 0.6741,                0.90223,                0.90657,                 0.9522,                 0.6512,               0.014567,               0.012239,              0.0043088,              0.0005587,               0.001387,               0.001387,               0.001387
                     89,                0.01419,               0.011379,              0.0023265,             0.00031463,                0.89203,                0.90741,                0.95265,                0.67697,                0.89279,                0.91014,                0.95387,                0.65556,               0.014463,               0.012263,              0.0042962,              0.0005072,               0.001288,               0.001288,               0.001288
                     90,                0.01392,               0.011426,              0.0023464,             0.00026785,                 0.8892,                0.91256,                0.95179,                0.67146,                0.89677,                0.92021,                0.95675,                0.65171,               0.014586,               0.012279,              0.0043103,             0.00064365,               0.001189,               0.001189,               0.001189
